,index,Unnamed: 0,Date,ESI,station,SMS-2.0in_mean,SMS-2.0in_count,how
1078,1078,1078,1/22/14,-0.4594904,2175:AL:SCAN,15.5,7,both
1079,1079,1079,1/22/14,-0.72253555,2053:AL:SCAN,35.61428571,7,both
1080,1080,1080,10/22/14,0.3248453,2057:AL:SCAN,28.34285714,7,both
1082,1082,1082,10/22/14,0.1770427,2177:AL:SCAN,42.7,7,both
1083,1083,1083,10/22/14,0.4072367,2113:AL:SCAN,30.12857143,7,both
1084,1084,1084,10/22/14,0.49629876,2174:AL:SCAN,43.42857143,7,both
1085,1085,1085,10/22/14,0.5908498,2055:AL:SCAN,25.27142857,7,both
1086,1086,1086,10/22/14,0.6794666,2173:AL:SCAN,30.57142857,7,both
1087,1087,1087,10/22/14,0.49155495,2180:AL:SCAN,12.52857143,7,both
1088,1088,1088,10/22/14,-0.33296868,2114:AL:SCAN,24.22857143,7,both
1090,1090,1090,10/22/14,-0.47930214,2181:AL:SCAN,22.71428571,7,both
1091,1091,1091,10/22/14,0.24000181,2182:AL:SCAN,11.3,7,both
1093,1093,1093,10/22/14,0.27664474,2056:AL:SCAN,26.91428571,7,both
1094,1094,1094,10/22/14,0.4720565,2179:AL:SCAN,20.81428571,7,both
1095,1095,1095,10/22/14,0.17962243,2115:AL:SCAN,8.5,7,both
1096,1096,1096,10/22/14,0.41009352,2175:AL:SCAN,17.17142857,7,both
1097,1097,1097,10/22/14,0.24010305,2053:AL:SCAN,28.81428571,7,both
1098,1098,1098,5/21/14,-1.2586062,2057:AL:SCAN,36.75714286,7,both
1100,1100,1100,5/21/14,1.0682018,2177:AL:SCAN,53.75714286,7,both
1101,1101,1101,5/21/14,-0.67999005,2113:AL:SCAN,24.42857143,7,both
1102,1102,1102,5/21/14,-0.60340047,2174:AL:SCAN,54.47142857,7,both
1104,1104,1104,5/21/14,0.42917484,2173:AL:SCAN,26.77142857,7,both
1106,1106,1106,5/21/14,0.26153177,2114:AL:SCAN,37.31428571,7,both
1107,1107,1107,5/21/14,0.5597742,2178:AL:SCAN,20.84285714,7,both
1108,1108,1108,5/21/14,0.20154664,2181:AL:SCAN,26.07142857,7,both
1111,1111,1111,5/21/14,-1.2814687,2056:AL:SCAN,28.75714286,7,both
1112,1112,1112,5/21/14,0.91095966,2179:AL:SCAN,22.34285714,7,both
1113,1113,1113,5/21/14,0.95030636,2115:AL:SCAN,12.28571429,7,both
1115,1115,1115,5/21/14,-0.803981,2053:AL:SCAN,36.68571429,7,both
1119,1119,1119,6/18/14,1.1117003,2113:AL:SCAN,30.37142857,7,both
1120,1120,1120,6/18/14,0.2090983,2174:AL:SCAN,57.57142857,7,both
1122,1122,1122,6/18/14,0.7161383,2173:AL:SCAN,20.2,7,both
1124,1124,1124,6/18/14,-0.48648018,2114:AL:SCAN,35.91428571,7,both
1125,1125,1125,6/18/14,-1.2059107,2178:AL:SCAN,19.27142857,7,both
1126,1126,1126,6/18/14,1.0495919,2181:AL:SCAN,26.04285714,7,both
1131,1131,1131,6/18/14,0.30056697,2115:AL:SCAN,10.48571429,7,both
1132,1132,1132,6/18/14,0.9426053,2175:AL:SCAN,19.85714286,7,both
1133,1133,1133,6/18/14,1.2313803,2053:AL:SCAN,32.58571429,7,both
1134,1134,1134,4/16/14,0.10120373,2057:AL:SCAN,33.92857143,7,both
1135,1135,1135,4/16/14,0.7789883,2078:AL:SCAN,29.4,7,both
1136,1136,1136,4/16/14,0.7231838,2177:AL:SCAN,52.27142857,7,both
1137,1137,1137,4/16/14,0.31823993,2113:AL:SCAN,34.25714286,7,both
1138,1138,1138,4/16/14,1.5383826,2174:AL:SCAN,55.02857143,7,both
1140,1140,1140,4/16/14,1.4540225,2173:AL:SCAN,25.7,7,both
1142,1142,1142,4/16/14,0.98798716,2114:AL:SCAN,40.41428571,7,both
1143,1143,1143,4/16/14,0.7579459,2178:AL:SCAN,19,7,both
1144,1144,1144,4/16/14,0.46995947,2181:AL:SCAN,26.67142857,7,both
1148,1148,1148,4/16/14,0.6714536,2179:AL:SCAN,24.51428571,7,both
1149,1149,1149,4/16/14,0.1538338,2115:AL:SCAN,18.51428571,7,both
1150,1150,1150,4/16/14,2.2872992,2175:AL:SCAN,27.57142857,7,both
1151,1151,1151,4/16/14,0.9700046,2053:AL:SCAN,35.8,7,both
1152,1152,1152,12/3/14,0.96101344,2057:AL:SCAN,32.32857143,7,both
1154,1154,1154,12/3/14,0.07989749,2177:AL:SCAN,40.37142857,7,both
1155,1155,1155,12/3/14,0.9578855,2113:AL:SCAN,32.64285714,7,both
1156,1156,1156,12/3/14,0.8917581,2174:AL:SCAN,42.24285714,7,both
1157,1157,1157,12/3/14,1.5209934,2055:AL:SCAN,27.67142857,7,both
1158,1158,1158,12/3/14,0.59929276,2173:AL:SCAN,31.51428571,7,both
1159,1159,1159,12/3/14,0.40101445,2180:AL:SCAN,10.48571429,7,both
1160,1160,1160,12/3/14,1.5499988,2114:AL:SCAN,30.5,7,both
1162,1162,1162,12/3/14,-0.112890184,2181:AL:SCAN,21.27142857,7,both
1163,1163,1163,12/3/14,0.36641675,2182:AL:SCAN,11.41428571,7,both
1165,1165,1165,12/3/14,1.0960308,2056:AL:SCAN,37.67142857,7,both
1167,1167,1167,12/3/14,0.38353717,2115:AL:SCAN,9.228571429,7,both
1168,1168,1168,12/3/14,0.10353104,2175:AL:SCAN,19.51428571,7,both
1169,1169,1169,12/3/14,0.7980222,2053:AL:SCAN,33.8,7,both
1170,1170,1170,4/2/14,0.54443514,2057:AL:SCAN,34.48571429,7,both
1172,1172,1172,4/2/14,0.8646578,2177:AL:SCAN,52.98571429,7,both
1173,1173,1173,4/2/14,0.38102263,2113:AL:SCAN,33.81428571,7,both
1174,1174,1174,4/2/14,0.66542804,2174:AL:SCAN,54.52857143,7,both
1176,1176,1176,4/2/14,0.2718077,2173:AL:SCAN,20.6,7,both
1178,1178,1178,4/2/14,0.325559,2114:AL:SCAN,40.42857143,7,both
1179,1179,1179,4/2/14,0.9712981,2178:AL:SCAN,23.4,7,both
1180,1180,1180,4/2/14,0.58370084,2181:AL:SCAN,26.67142857,7,both
1184,1184,1184,4/2/14,0.4942159,2179:AL:SCAN,25.81428571,7,both
1185,1185,1185,4/2/14,0.47691345,2115:AL:SCAN,17.21428571,7,both
1186,1186,1186,4/2/14,-0.7076523,2175:AL:SCAN,28.91428571,7,both
1187,1187,1187,4/2/14,-0.14797626,2053:AL:SCAN,35.52857143,7,both
1188,1188,1188,8/13/14,1.0329919,2057:AL:SCAN,24.9,7,both
1191,1191,1191,8/13/14,0.79326624,2113:AL:SCAN,5.314285714,7,both
1194,1194,1194,8/13/14,0.042077966,2173:AL:SCAN,25.54285714,7,both
1196,1196,1196,8/13/14,-1.774994,2114:AL:SCAN,27.74285714,7,both
1197,1197,1197,8/13/14,-0.4492268,2178:AL:SCAN,11.8,7,both
1198,1198,1198,8/13/14,-1.2284476,2181:AL:SCAN,14.44285714,7,both
1201,1201,1201,8/13/14,-0.34405547,2056:AL:SCAN,16.91428571,7,both
1203,1203,1203,8/13/14,-0.07702073,2115:AL:SCAN,10.88571429,7,both
1204,1204,1204,8/13/14,1.4350396,2175:AL:SCAN,16.6,7,both
1206,1206,1206,12/24/14,0.4739359,2057:AL:SCAN,34.62857143,7,both
1210,1210,1210,12/24/14,2.5079296,2174:AL:SCAN,43.97142857,7,both
1212,1212,1212,12/24/14,1.4466375,2173:AL:SCAN,34.14285714,7,both
1213,1213,1213,12/24/14,1.5310879,2180:AL:SCAN,13.6,7,both
1214,1214,1214,12/24/14,1.3375927,2114:AL:SCAN,33.67142857,7,both
1216,1216,1216,12/24/14,0.000770646,2181:AL:SCAN,26.9,7,both
1217,1217,1217,12/24/14,0.80499023,2182:AL:SCAN,10.54285714,7,both
1219,1219,1219,12/24/14,1.6477048,2056:AL:SCAN,41.64285714,7,both
1221,1221,1221,12/24/14,2.6198542,2115:AL:SCAN,9.642857143,7,both
1223,1223,1223,12/24/14,0.06731856,2053:AL:SCAN,35.27142857,7,both
1224,1224,1224,9/3/14,-0.65161294,2057:AL:SCAN,28.51428571,7,both
1226,1226,1226,9/3/14,0.6640826,2177:AL:SCAN,44.34285714,7,both
1227,1227,1227,9/3/14,0.44183066,2113:AL:SCAN,12.62857143,7,both
1230,1230,1230,9/3/14,1.346113,2173:AL:SCAN,22,7,both
1232,1232,1232,9/3/14,0.191097,2114:AL:SCAN,26.7,7,both
1233,1233,1233,9/3/14,1.1194841,2178:AL:SCAN,12.54285714,7,both
1234,1234,1234,9/3/14,1.1016108,2181:AL:SCAN,13.72857143,7,both
1237,1237,1237,9/3/14,0.16512401,2056:AL:SCAN,20.14285714,7,both
1239,1239,1239,9/3/14,0.8294317,2115:AL:SCAN,7,7,both
1240,1240,1240,9/3/14,-0.17413755,2175:AL:SCAN,12.04285714,7,both
1241,1241,1241,9/3/14,0.47823134,2053:AL:SCAN,18.45714286,7,both
1242,1242,1242,5/14/14,-1.3819783,2057:AL:SCAN,26.74285714,7,both
1244,1244,1244,5/14/14,-0.5679167,2177:AL:SCAN,45.5,7,both
1245,1245,1245,5/14/14,0.6694226,2113:AL:SCAN,15.32857143,7,both
1248,1248,1248,5/14/14,0.8813327,2173:AL:SCAN,13.91428571,7,both
1250,1250,1250,5/14/14,1.183159,2114:AL:SCAN,37.17142857,7,both
1251,1251,1251,5/14/14,-0.39359298,2178:AL:SCAN,13.31428571,7,both
1255,1255,1255,5/14/14,-0.5997255,2056:AL:SCAN,17.35714286,7,both
1256,1256,1256,5/14/14,0.40947244,2179:AL:SCAN,11.04285714,7,both
1257,1257,1257,5/14/14,-0.09983589,2115:AL:SCAN,10.62857143,7,both
1258,1258,1258,5/14/14,-1.091677,2175:AL:SCAN,18.15714286,7,both
1259,1259,1259,5/14/14,-1.1801705,2053:AL:SCAN,32.01428571,7,both
1260,1260,1260,2/26/14,-0.53556603,2057:AL:SCAN,35.81428571,7,both
1262,1262,1262,2/26/14,-0.8622503,2177:AL:SCAN,54.51428571,7,both
1263,1263,1263,2/26/14,-0.51236194,2113:AL:SCAN,35.57142857,7,both
1264,1264,1264,2/26/14,-0.6516024,2174:AL:SCAN,55.22857143,7,both
1266,1266,1266,2/26/14,-0.22819687,2173:AL:SCAN,28.71428571,7,both
1268,1268,1268,2/26/14,1.245969,2114:AL:SCAN,40.52857143,7,both
1269,1269,1269,2/26/14,-1.4233724,2178:AL:SCAN,23.82857143,7,both
1270,1270,1270,2/26/14,-0.10892396,2181:AL:SCAN,28.4,7,both
1275,1275,1275,2/26/14,-1.365438,2115:AL:SCAN,17.68571429,7,both
1276,1276,1276,2/26/14,-0.58508414,2175:AL:SCAN,14.5,7,both
1277,1277,1277,2/26/14,-1.1147751,2053:AL:SCAN,38.14285714,7,both
1278,1278,1278,3/12/14,0.77729577,2057:AL:SCAN,32.1,7,both
1280,1280,1280,3/12/14,0.45712748,2177:AL:SCAN,52.17142857,7,both
1281,1281,1281,3/12/14,0.34964836,2113:AL:SCAN,34.17142857,7,both
1282,1282,1282,3/12/14,1.2919643,2174:AL:SCAN,54.82857143,7,both
1284,1284,1284,3/12/14,0.89527315,2173:AL:SCAN,25.25714286,7,both
1286,1286,1286,3/12/14,1.206224,2114:AL:SCAN,40.32857143,7,both
1287,1287,1287,3/12/14,1.0955441,2178:AL:SCAN,23.11428571,7,both
1288,1288,1288,3/12/14,-0.00559667,2181:AL:SCAN,27.81428571,7,both
1292,1292,1292,3/12/14,0.8221573,2179:AL:SCAN,25.11428571,7,both
1293,1293,1293,3/12/14,1.0407615,2115:AL:SCAN,13.61428571,7,both
1294,1294,1294,3/12/14,-0.55306125,2175:AL:SCAN,17.12857143,7,both
1295,1295,1295,3/12/14,-0.4918513,2053:AL:SCAN,33.52857143,7,both
1296,1296,1296,6/4/14,-0.30543652,2057:AL:SCAN,29.25714286,7,both
1299,1299,1299,6/4/14,1.1827366,2113:AL:SCAN,14.31428571,7,both
1302,1302,1302,6/4/14,0.44065732,2173:AL:SCAN,22.97142857,7,both
1305,1305,1305,6/4/14,2.302278,2178:AL:SCAN,14.05714286,7,both
1306,1306,1306,6/4/14,0.8220945,2181:AL:SCAN,29.34285714,7,both
1311,1311,1311,6/4/14,2.4983997,2115:AL:SCAN,5.014285714,7,both
1314,1314,1314,10/8/14,-1.0873116,2057:AL:SCAN,16.75714286,7,both
1316,1316,1316,10/8/14,0.24814224,2177:AL:SCAN,35.72857143,7,both
1317,1317,1317,10/8/14,0.64789635,2113:AL:SCAN,15.27142857,7,both
1318,1318,1318,10/8/14,1.0875435,2174:AL:SCAN,45.3,7,both
1319,1319,1319,10/8/14,-0.53322077,2055:AL:SCAN,20.07142857,7,both
1320,1320,1320,10/8/14,0.4560785,2173:AL:SCAN,14.67142857,7,both
1321,1321,1321,10/8/14,1.3281546,2180:AL:SCAN,12.02857143,7,both
1322,1322,1322,10/8/14,-0.59365034,2114:AL:SCAN,20.47142857,7,both
1324,1324,1324,10/8/14,0.6643991,2181:AL:SCAN,18.1,7,both
1325,1325,1325,10/8/14,1.5420518,2182:AL:SCAN,11.62857143,7,both
1327,1327,1327,10/8/14,1.0081447,2056:AL:SCAN,18.55714286,7,both
1329,1329,1329,10/8/14,0.20276852,2115:AL:SCAN,5.757142857,7,both
1330,1330,1330,10/8/14,-0.28474477,2175:AL:SCAN,11.88571429,7,both
1331,1331,1331,10/8/14,0.5669212,2053:AL:SCAN,14.82857143,7,both
1332,1332,1332,2/5/14,0.3173734,2057:AL:SCAN,30.25714286,7,both
1334,1334,1334,2/5/14,3.3222277,2177:AL:SCAN,48.55714286,7,both
1335,1335,1335,2/5/14,-0.3149877,2113:AL:SCAN,34.05714286,7,both
1336,1336,1336,2/5/14,-0.26298365,2174:AL:SCAN,49.21428571,7,both
1338,1338,1338,2/5/14,1.6248579,2173:AL:SCAN,23.42857143,7,both
1340,1340,1340,2/5/14,0.6223904,2114:AL:SCAN,39.72857143,7,both
1341,1341,1341,2/5/14,3.2281785,2178:AL:SCAN,21.37142857,7,both
1342,1342,1342,2/5/14,1.3862975,2181:AL:SCAN,26.85714286,7,both
1346,1346,1346,2/5/14,1.0386395,2179:AL:SCAN,26.81428571,7,both
1349,1349,1349,2/5/14,-0.5989165,2053:AL:SCAN,28.74285714,7,both
1350,1350,1350,8/27/14,0.5339408,2057:AL:SCAN,27.61428571,7,both
1352,1352,1352,8/27/14,0.046676155,2177:AL:SCAN,51.72857143,7,both
1353,1353,1353,8/27/14,0.14540254,2113:AL:SCAN,11.81428571,7,both
1356,1356,1356,8/27/14,0.04119877,2173:AL:SCAN,25.41428571,7,both
1358,1358,1358,8/27/14,-0.20083013,2114:AL:SCAN,26.47142857,7,both
1359,1359,1359,8/27/14,-0.012616908,2178:AL:SCAN,14.38571429,7,both
1360,1360,1360,8/27/14,0.13511024,2181:AL:SCAN,20.32857143,7,both
1363,1363,1363,8/27/14,0.008303822,2056:AL:SCAN,18.7,7,both
1365,1365,1365,8/27/14,-0.8952439,2115:AL:SCAN,9.471428571,7,both
1366,1366,1366,8/27/14,-0.7801095,2175:AL:SCAN,13.77142857,7,both
1367,1367,1367,8/27/14,0.21908268,2053:AL:SCAN,18.94285714,7,both
1368,1368,1368,12/10/14,0.03303112,2057:AL:SCAN,34.82857143,7,both
1370,1370,1370,12/10/14,-1.1663321,2177:AL:SCAN,41.94285714,7,both
1371,1371,1371,12/10/14,-0.29812235,2113:AL:SCAN,34.21428571,7,both
1372,1372,1372,12/10/14,0.13869813,2174:AL:SCAN,45.54285714,7,both
1373,1373,1373,12/10/14,-0.40158808,2055:AL:SCAN,31.4,7,both
1374,1374,1374,12/10/14,-1.3180089,2173:AL:SCAN,34.75714286,7,both
1375,1375,1375,12/10/14,-0.3731212,2180:AL:SCAN,9.142857143,7,both
1376,1376,1376,12/10/14,-0.5473885,2114:AL:SCAN,31.65714286,7,both
1378,1378,1378,12/10/14,-0.7512604,2181:AL:SCAN,14.91428571,7,both
1379,1379,1379,12/10/14,-0.12010259,2182:AL:SCAN,8.285714286,7,both
1381,1381,1381,12/10/14,-0.5203381,2056:AL:SCAN,41.97142857,7,both
1383,1383,1383,12/10/14,-0.30697513,2115:AL:SCAN,9,7,both
1384,1384,1384,12/10/14,-0.190231,2175:AL:SCAN,20.17142857,7,both
1385,1385,1385,12/10/14,0.16554643,2053:AL:SCAN,35.47142857,7,both
1386,1386,1386,7/9/14,-0.9586797,2057:AL:SCAN,17.95714286,7,both
1388,1388,1388,7/9/14,-2.2342112,2177:AL:SCAN,36.04285714,7,both
1389,1389,1389,7/9/14,-0.27512375,2113:AL:SCAN,16.97142857,7,both
1392,1392,1392,7/9/14,-1.996693,2173:AL:SCAN,13.92857143,7,both
1394,1394,1394,7/9/14,-1.4534785,2114:AL:SCAN,34.47142857,7,both
1395,1395,1395,7/9/14,-2.541349,2178:AL:SCAN,10.3,7,both
1396,1396,1396,7/9/14,-2.503691,2181:AL:SCAN,16.74285714,7,both
1399,1399,1399,7/9/14,-0.09387602,2056:AL:SCAN,24.41428571,7,both
1401,1401,1401,7/9/14,-2.3683217,2115:AL:SCAN,5.128571429,7,both
1404,1404,1404,9/17/14,1.27498,2057:AL:SCAN,21.08571429,7,both
1406,1406,1406,9/17/14,-0.21944551,2177:AL:SCAN,40.82857143,7,both
1407,1407,1407,9/17/14,2.1613064,2113:AL:SCAN,7.414285714,7,both
1410,1410,1410,9/17/14,2.071412,2173:AL:SCAN,15.52857143,7,both
1412,1412,1412,9/17/14,-0.24504685,2114:AL:SCAN,24.48571429,7,both
1413,1413,1413,9/17/14,-1.2469164,2178:AL:SCAN,11.14285714,7,both
1414,1414,1414,9/17/14,0.8868499,2181:AL:SCAN,19.54285714,7,both
1417,1417,1417,9/17/14,2.445489,2056:AL:SCAN,15.17142857,7,both
1419,1419,1419,9/17/14,0.3847567,2115:AL:SCAN,5.928571429,7,both
1422,1422,1422,7/30/14,-1.606841,2057:AL:SCAN,26.6,7,both
1424,1424,1424,7/30/14,0.18347326,2177:AL:SCAN,41.18571429,7,both
1425,1425,1425,7/30/14,-1.8429414,2113:AL:SCAN,12.31428571,7,both
1428,1428,1428,7/30/14,-1.8677409,2173:AL:SCAN,24.32857143,7,both
1430,1430,1430,7/30/14,-1.5255965,2114:AL:SCAN,31.87142857,7,both
1431,1431,1431,7/30/14,-2.1538603,2178:AL:SCAN,15.55714286,7,both
1432,1432,1432,7/30/14,-0.34668037,2181:AL:SCAN,24.97142857,7,both
1435,1435,1435,7/30/14,-1.0189549,2056:AL:SCAN,20.05714286,7,both
1437,1437,1437,7/30/14,-3.165909,2115:AL:SCAN,8.428571429,7,both
1438,1438,1438,7/30/14,-0.44634578,2175:AL:SCAN,20.37142857,7,both
1439,1439,1439,7/30/14,0.8541693,2053:AL:SCAN,17.85714286,7,both
1440,1440,1440,11/26/14,0.80893105,2057:AL:SCAN,32.68571429,7,both
1442,1442,1442,11/26/14,0.10312845,2177:AL:SCAN,44.22857143,7,both
1443,1443,1443,11/26/14,0.7280771,2113:AL:SCAN,33.77142857,7,both
1444,1444,1444,11/26/14,1.3933486,2174:AL:SCAN,46.11428571,7,both
1445,1445,1445,11/26/14,1.2351846,2055:AL:SCAN,30.02857143,7,both
1446,1446,1446,11/26/14,1.6083031,2173:AL:SCAN,32.87142857,7,both
1447,1447,1447,11/26/14,0.48001996,2180:AL:SCAN,11.7,7,both
1448,1448,1448,11/26/14,0.98757607,2114:AL:SCAN,29.61428571,7,both
1450,1450,1450,11/26/14,0.7443909,2181:AL:SCAN,25.58571429,7,both
1451,1451,1451,11/26/14,0.63398397,2182:AL:SCAN,14.08571429,7,both
1453,1453,1453,11/26/14,0.76065713,2056:AL:SCAN,37.9,7,both
1455,1455,1455,11/26/14,0.4181608,2115:AL:SCAN,10.17142857,7,both
1456,1456,1456,11/26/14,0.4677319,2175:AL:SCAN,21.51428571,7,both
1457,1457,1457,11/26/14,1.1372603,2053:AL:SCAN,33.57142857,7,both
1458,1458,1458,4/9/14,1.8837758,2057:AL:SCAN,34.62857143,7,both
1459,1459,1459,4/9/14,1.8816286,2078:AL:SCAN,29.45714286,7,both
1460,1460,1460,4/9/14,1.0056026,2177:AL:SCAN,53.91428571,7,both
1462,1462,1462,4/9/14,1.6371042,2174:AL:SCAN,56.24285714,7,both
1464,1464,1464,4/9/14,2.1877308,2173:AL:SCAN,25.81428571,7,both
1466,1466,1466,4/9/14,0.54592675,2114:AL:SCAN,40.47142857,7,both
1467,1467,1467,4/9/14,1.6332444,2178:AL:SCAN,20.62857143,7,both
1468,1468,1468,4/9/14,1.0625716,2181:AL:SCAN,30.17142857,7,both
1472,1472,1472,4/9/14,2.0305247,2179:AL:SCAN,26.12857143,7,both
1473,1473,1473,4/9/14,0.6259608,2115:AL:SCAN,19.68571429,7,both
1474,1474,1474,4/9/14,0.24958117,2175:AL:SCAN,28.77142857,7,both
1475,1475,1475,4/9/14,1.6253935,2053:AL:SCAN,35.71428571,7,both
1478,1478,1478,9/10/14,1.8778766,2177:AL:SCAN,54.51428571,7,both
1482,1482,1482,9/10/14,0.07030278,2173:AL:SCAN,17.75714286,7,both
