,Date,station,SMS-2.0in,SMS-2.0in
35,2002-10-16,2053:AL:SCAN,34.01428571428571,7
36,2002-10-23,2053:AL:SCAN,30.214285714285715,7
37,2002-10-30,2053:AL:SCAN,29.614285714285717,7
38,2002-11-06,2053:AL:SCAN,33.34285714285714,7
39,2002-11-13,2053:AL:SCAN,33.857142857142854,7
40,2002-11-20,2053:AL:SCAN,33.42857142857143,7
41,2002-11-27,2053:AL:SCAN,31.528571428571432,7
42,2002-12-04,2053:AL:SCAN,29.685714285714287,7
43,2002-12-11,2053:AL:SCAN,34.68571428571429,7
44,2002-12-18,2053:AL:SCAN,37.58571428571429,7
46,2003-01-01,2053:AL:SCAN,38.07142857142857,7
47,2003-01-08,2053:AL:SCAN,36.18571428571429,7
48,2003-01-15,2053:AL:SCAN,35.114285714285714,7
50,2003-01-29,2053:AL:SCAN,34.08571428571428,7
51,2003-02-05,2053:AL:SCAN,36.128571428571426,7
52,2003-02-12,2053:AL:SCAN,36.18571428571429,7
53,2003-02-19,2053:AL:SCAN,38.614285714285714,7
54,2003-02-26,2053:AL:SCAN,40.542857142857144,7
55,2003-03-05,2053:AL:SCAN,40.128571428571426,7
57,2003-03-19,2053:AL:SCAN,36.5,7
58,2003-03-26,2053:AL:SCAN,33.285714285714285,7
59,2003-04-02,2053:AL:SCAN,30.114285714285717,7
60,2003-04-09,2053:AL:SCAN,31.071428571428573,7
61,2003-04-16,2053:AL:SCAN,31.485714285714288,7
62,2003-04-23,2053:AL:SCAN,24.02857142857143,7
63,2003-04-30,2053:AL:SCAN,31.3,7
64,2003-05-07,2053:AL:SCAN,32.6,7
65,2003-05-14,2053:AL:SCAN,40.285714285714285,7
66,2003-05-21,2053:AL:SCAN,39.84285714285714,7
67,2003-05-28,2053:AL:SCAN,39.957142857142856,7
68,2003-06-04,2053:AL:SCAN,32.58571428571428,7
69,2003-06-11,2053:AL:SCAN,35.15714285714286,7
70,2003-06-18,2053:AL:SCAN,38.25714285714286,7
71,2003-06-25,2053:AL:SCAN,34.971428571428575,7
72,2003-07-02,2053:AL:SCAN,34.771428571428565,7
73,2003-07-09,2053:AL:SCAN,38.714285714285715,7
74,2003-07-16,2053:AL:SCAN,36.471428571428575,7
75,2003-07-23,2053:AL:SCAN,35.57142857142857,7
76,2003-07-30,2053:AL:SCAN,36.128571428571426,7
77,2003-08-06,2053:AL:SCAN,34.642857142857146,7
78,2003-08-13,2053:AL:SCAN,30.75714285714286,7
79,2003-08-20,2053:AL:SCAN,25.3,7
81,2003-09-03,2053:AL:SCAN,21.657142857142855,7
84,2003-09-24,2053:AL:SCAN,26.014285714285712,7
85,2003-10-01,2053:AL:SCAN,27.54285714285714,7
86,2003-10-08,2053:AL:SCAN,22.042857142857144,7
87,2003-10-15,2053:AL:SCAN,21.67142857142857,7
88,2003-10-22,2053:AL:SCAN,21.885714285714283,7
89,2003-10-29,2053:AL:SCAN,21.97142857142857,7
90,2003-11-05,2053:AL:SCAN,21.25714285714286,7
91,2003-11-12,2053:AL:SCAN,28.614285714285717,7
93,2003-11-26,2053:AL:SCAN,32.25714285714286,7
95,2003-12-10,2053:AL:SCAN,34.385714285714286,7
96,2003-12-17,2053:AL:SCAN,35.77142857142857,7
97,2003-12-24,2053:AL:SCAN,34.0,7
98,2003-12-31,2053:AL:SCAN,34.48571428571429,7
99,2004-01-07,2053:AL:SCAN,34.75714285714286,7
100,2004-01-14,2053:AL:SCAN,35.285714285714285,7
101,2004-01-21,2053:AL:SCAN,33.9,7
102,2004-01-28,2053:AL:SCAN,35.285714285714285,7
103,2004-02-04,2053:AL:SCAN,35.01428571428571,7
104,2004-02-11,2053:AL:SCAN,39.68571428571429,7
105,2004-02-18,2053:AL:SCAN,40.114285714285714,7
106,2004-02-25,2053:AL:SCAN,38.24285714285714,7
107,2004-03-03,2053:AL:SCAN,38.528571428571425,7
108,2004-03-10,2053:AL:SCAN,40.18571428571429,7
109,2004-03-17,2053:AL:SCAN,38.271428571428565,7
110,2004-03-24,2053:AL:SCAN,35.0,7
111,2004-03-31,2053:AL:SCAN,28.914285714285715,7
112,2004-04-07,2053:AL:SCAN,29.185714285714287,7
113,2004-04-14,2053:AL:SCAN,27.67142857142857,7
114,2004-04-21,2053:AL:SCAN,28.02857142857143,7
115,2004-04-28,2053:AL:SCAN,27.5,7
116,2004-05-05,2053:AL:SCAN,33.8,7
117,2004-05-12,2053:AL:SCAN,25.042857142857144,7
118,2004-05-19,2053:AL:SCAN,31.714285714285715,7
119,2004-05-26,2053:AL:SCAN,23.74285714285714,7
120,2004-06-02,2053:AL:SCAN,23.2,7
121,2004-06-09,2053:AL:SCAN,24.785714285714285,7
122,2004-06-16,2053:AL:SCAN,21.37142857142857,7
123,2004-06-23,2053:AL:SCAN,19.557142857142857,7
124,2004-06-30,2053:AL:SCAN,34.72857142857143,7
125,2004-07-07,2053:AL:SCAN,34.25714285714286,7
126,2004-07-14,2053:AL:SCAN,29.8,7
127,2004-07-21,2053:AL:SCAN,29.685714285714287,7
128,2004-07-28,2053:AL:SCAN,24.75714285714286,7
129,2004-08-04,2053:AL:SCAN,23.857142857142858,7
130,2004-08-11,2053:AL:SCAN,18.428571428571427,7
131,2004-08-18,2053:AL:SCAN,20.900000000000002,7
132,2004-08-25,2053:AL:SCAN,20.6,7
133,2004-09-01,2053:AL:SCAN,27.342857142857145,7
134,2004-09-08,2053:AL:SCAN,20.657142857142855,7
135,2004-09-15,2053:AL:SCAN,17.0,7
136,2004-09-22,2053:AL:SCAN,21.985714285714288,7
137,2004-09-29,2053:AL:SCAN,16.928571428571427,7
139,2004-10-13,2053:AL:SCAN,14.242857142857144,7
140,2004-10-20,2053:AL:SCAN,17.814285714285713,7
141,2004-10-27,2053:AL:SCAN,26.0,7
142,2004-11-03,2053:AL:SCAN,26.900000000000002,7
143,2004-11-10,2053:AL:SCAN,27.514285714285712,7
144,2004-11-17,2053:AL:SCAN,29.785714285714285,7
145,2004-11-24,2053:AL:SCAN,30.057142857142857,7
146,2004-12-01,2053:AL:SCAN,39.75714285714286,7
147,2004-12-08,2053:AL:SCAN,39.92857142857143,7
148,2004-12-15,2053:AL:SCAN,40.128571428571426,7
149,2004-12-22,2053:AL:SCAN,37.48571428571428,7
150,2004-12-29,2053:AL:SCAN,38.08571428571428,7
151,2005-01-05,2053:AL:SCAN,35.75714285714286,7
152,2005-01-12,2053:AL:SCAN,37.32857142857143,7
153,2005-01-19,2053:AL:SCAN,38.05714285714286,7
154,2005-01-26,2053:AL:SCAN,34.32857142857143,7
155,2005-02-02,2053:AL:SCAN,34.92857142857143,7
157,2005-02-16,2053:AL:SCAN,38.17142857142857,7
159,2005-03-02,2053:AL:SCAN,40.48571428571428,7
160,2005-03-09,2053:AL:SCAN,39.34285714285714,7
161,2005-03-16,2053:AL:SCAN,35.971428571428575,7
162,2005-03-23,2053:AL:SCAN,36.028571428571425,7
163,2005-03-30,2053:AL:SCAN,36.042857142857144,7
164,2005-04-06,2053:AL:SCAN,36.771428571428565,7
165,2005-04-13,2053:AL:SCAN,40.41428571428571,7
166,2005-04-20,2053:AL:SCAN,35.04285714285714,7
167,2005-04-27,2053:AL:SCAN,35.971428571428575,7
168,2005-05-04,2053:AL:SCAN,33.7,7
169,2005-05-11,2053:AL:SCAN,26.842857142857145,7
170,2005-05-18,2053:AL:SCAN,22.414285714285715,7
171,2005-05-25,2053:AL:SCAN,25.285714285714285,7
172,2005-06-01,2053:AL:SCAN,19.52857142857143,7
173,2005-06-08,2053:AL:SCAN,34.285714285714285,7
174,2005-06-15,2053:AL:SCAN,37.57142857142857,7
175,2005-06-22,2053:AL:SCAN,28.97142857142857,7
176,2005-06-29,2053:AL:SCAN,25.885714285714283,7
177,2005-07-06,2053:AL:SCAN,28.614285714285717,7
178,2005-07-13,2053:AL:SCAN,28.114285714285717,7
179,2005-07-20,2053:AL:SCAN,33.25714285714286,7
180,2005-07-27,2053:AL:SCAN,21.071428571428573,7
181,2005-08-03,2053:AL:SCAN,16.714285714285715,7
182,2005-08-10,2053:AL:SCAN,17.485714285714288,7
183,2005-08-17,2053:AL:SCAN,19.400000000000002,7
184,2005-08-24,2053:AL:SCAN,14.528571428571428,7
185,2005-08-31,2053:AL:SCAN,15.62857142857143,7
186,2005-09-07,2053:AL:SCAN,14.62857142857143,7
187,2005-09-14,2053:AL:SCAN,11.6,7
188,2005-09-21,2053:AL:SCAN,21.185714285714287,7
189,2005-09-28,2053:AL:SCAN,19.142857142857142,7
190,2005-10-05,2053:AL:SCAN,16.314285714285713,7
191,2005-10-12,2053:AL:SCAN,13.657142857142857,7
192,2005-10-19,2053:AL:SCAN,12.185714285714285,7
193,2005-10-26,2053:AL:SCAN,10.771428571428572,7
194,2005-11-02,2053:AL:SCAN,9.757142857142856,7
195,2005-11-09,2053:AL:SCAN,9.857142857142858,7
196,2005-11-16,2053:AL:SCAN,15.085714285714285,7
197,2005-11-23,2053:AL:SCAN,23.014285714285712,7
198,2005-11-30,2053:AL:SCAN,24.02857142857143,7
199,2005-12-07,2053:AL:SCAN,25.599999999999998,7
200,2005-12-14,2053:AL:SCAN,26.614285714285717,7
201,2005-12-21,2053:AL:SCAN,27.47142857142857,7
202,2005-12-28,2053:AL:SCAN,27.071428571428573,7
203,2006-01-04,2053:AL:SCAN,26.485714285714284,7
204,2006-01-11,2053:AL:SCAN,25.400000000000002,7
205,2006-01-18,2053:AL:SCAN,30.142857142857142,7
206,2006-01-25,2053:AL:SCAN,33.857142857142854,7
207,2006-02-01,2053:AL:SCAN,34.357142857142854,7
208,2006-02-08,2053:AL:SCAN,35.51428571428571,7
209,2006-02-15,2053:AL:SCAN,36.385714285714286,7
210,2006-02-22,2053:AL:SCAN,35.82857142857143,7
211,2006-03-01,2053:AL:SCAN,33.92857142857143,7
212,2006-03-08,2053:AL:SCAN,27.214285714285715,7
213,2006-03-15,2053:AL:SCAN,30.385714285714283,7
214,2006-03-22,2053:AL:SCAN,27.728571428571428,7
215,2006-03-29,2053:AL:SCAN,29.642857142857142,7
216,2006-04-05,2053:AL:SCAN,27.3,7
217,2006-04-12,2053:AL:SCAN,30.32857142857143,7
218,2006-04-19,2053:AL:SCAN,20.057142857142857,7
219,2006-04-26,2053:AL:SCAN,27.485714285714288,7
220,2006-05-03,2053:AL:SCAN,33.58571428571428,7
221,2006-05-10,2053:AL:SCAN,34.6,7
222,2006-05-17,2053:AL:SCAN,35.48571428571429,7
223,2006-05-24,2053:AL:SCAN,32.74285714285714,7
224,2006-05-31,2053:AL:SCAN,23.114285714285717,7
225,2006-06-07,2053:AL:SCAN,30.17142857142857,7
226,2006-06-14,2053:AL:SCAN,18.8,7
227,2006-06-21,2053:AL:SCAN,15.585714285714285,7
228,2006-06-28,2053:AL:SCAN,18.257142857142856,7
229,2006-07-05,2053:AL:SCAN,14.700000000000001,7
230,2006-07-12,2053:AL:SCAN,13.742857142857144,7
231,2006-07-19,2053:AL:SCAN,11.62857142857143,7
232,2006-07-26,2053:AL:SCAN,10.700000000000001,7
233,2006-08-02,2053:AL:SCAN,11.671428571428573,7
234,2006-08-09,2053:AL:SCAN,10.414285714285713,7
235,2006-08-16,2053:AL:SCAN,11.571428571428571,7
236,2006-08-23,2053:AL:SCAN,11.242857142857144,7
237,2006-08-30,2053:AL:SCAN,11.6,7
238,2006-09-06,2053:AL:SCAN,11.5,7
239,2006-09-13,2053:AL:SCAN,10.1,7
240,2006-09-20,2053:AL:SCAN,10.242857142857144,7
241,2006-09-27,2053:AL:SCAN,13.585714285714285,7
242,2006-10-04,2053:AL:SCAN,13.142857142857142,7
243,2006-10-11,2053:AL:SCAN,12.0,7
244,2006-10-18,2053:AL:SCAN,10.857142857142858,7
245,2006-10-25,2053:AL:SCAN,16.97142857142857,7
246,2006-11-01,2053:AL:SCAN,19.24285714285714,7
247,2006-11-08,2053:AL:SCAN,22.185714285714287,7
248,2006-11-15,2053:AL:SCAN,25.514285714285712,7
249,2006-11-22,2053:AL:SCAN,26.614285714285717,7
250,2006-11-29,2053:AL:SCAN,19.485714285714288,7
251,2006-12-06,2053:AL:SCAN,25.25714285714286,7
252,2006-12-13,2053:AL:SCAN,24.442857142857143,7
253,2006-12-20,2053:AL:SCAN,26.014285714285712,7
254,2006-12-27,2053:AL:SCAN,30.714285714285715,7
255,2007-01-03,2053:AL:SCAN,33.15714285714286,7
256,2007-01-10,2053:AL:SCAN,36.51428571428571,7
257,2007-01-17,2053:AL:SCAN,34.74285714285714,7
258,2007-01-24,2053:AL:SCAN,34.300000000000004,7
259,2007-01-31,2053:AL:SCAN,32.5,7
260,2007-02-07,2053:AL:SCAN,33.44285714285714,7
261,2007-02-14,2053:AL:SCAN,31.414285714285715,7
262,2007-02-21,2053:AL:SCAN,33.84285714285714,7
263,2007-02-28,2053:AL:SCAN,34.614285714285714,7
264,2007-03-07,2053:AL:SCAN,34.67142857142857,7
265,2007-03-14,2053:AL:SCAN,28.657142857142855,7
266,2007-03-21,2053:AL:SCAN,26.614285714285717,7
267,2007-03-28,2053:AL:SCAN,21.52857142857143,7
268,2007-04-04,2053:AL:SCAN,20.657142857142855,7
269,2007-04-11,2053:AL:SCAN,22.771428571428572,7
270,2007-04-18,2053:AL:SCAN,27.328571428571426,7
271,2007-04-25,2053:AL:SCAN,22.514285714285712,7
272,2007-05-02,2053:AL:SCAN,25.485714285714288,7
273,2007-05-09,2053:AL:SCAN,25.02857142857143,7
274,2007-05-16,2053:AL:SCAN,17.057142857142857,7
275,2007-05-23,2053:AL:SCAN,14.771428571428572,7
276,2007-05-30,2053:AL:SCAN,12.457142857142857,7
277,2007-06-06,2053:AL:SCAN,16.557142857142857,7
278,2007-06-13,2053:AL:SCAN,11.87142857142857,7
279,2007-06-20,2053:AL:SCAN,12.428571428571429,7
280,2007-06-27,2053:AL:SCAN,16.2,7
281,2007-07-04,2053:AL:SCAN,17.271428571428572,7
282,2007-07-11,2053:AL:SCAN,21.214285714285715,7
283,2007-07-18,2053:AL:SCAN,26.414285714285715,7
284,2007-07-25,2053:AL:SCAN,23.52857142857143,7
285,2007-08-01,2053:AL:SCAN,16.17142857142857,7
286,2007-08-08,2053:AL:SCAN,18.085714285714285,7
287,2007-08-15,2053:AL:SCAN,11.614285714285714,7
288,2007-08-22,2053:AL:SCAN,9.571428571428571,7
289,2007-08-29,2053:AL:SCAN,20.571428571428573,7
290,2007-09-05,2053:AL:SCAN,22.571428571428573,7
291,2007-09-12,2053:AL:SCAN,14.928571428571429,7
292,2007-09-19,2053:AL:SCAN,20.571428571428573,7
293,2007-09-26,2053:AL:SCAN,13.9,7
294,2007-10-03,2053:AL:SCAN,11.428571428571429,7
295,2007-10-10,2053:AL:SCAN,9.914285714285715,7
296,2007-10-17,2053:AL:SCAN,10.485714285714286,7
297,2007-10-24,2053:AL:SCAN,24.400000000000002,7
298,2007-10-31,2053:AL:SCAN,26.057142857142857,7
299,2007-11-07,2053:AL:SCAN,19.47142857142857,7
300,2007-11-14,2053:AL:SCAN,16.414285714285715,7
301,2007-11-21,2053:AL:SCAN,23.571428571428573,7
302,2007-11-28,2053:AL:SCAN,32.48571428571429,7
303,2007-12-05,2053:AL:SCAN,28.7,7
304,2007-12-12,2053:AL:SCAN,25.885714285714283,7
305,2007-12-19,2053:AL:SCAN,30.957142857142856,7
306,2007-12-26,2053:AL:SCAN,28.67142857142857,7
307,2008-01-02,2053:AL:SCAN,30.114285714285717,7
308,2008-01-09,2053:AL:SCAN,28.728571428571428,7
309,2008-01-16,2053:AL:SCAN,31.32857142857143,7
310,2008-01-23,2053:AL:SCAN,31.02857142857143,7
311,2008-01-30,2053:AL:SCAN,32.07142857142857,7
312,2008-02-06,2053:AL:SCAN,35.34285714285714,7
313,2008-02-13,2053:AL:SCAN,33.27142857142857,7
314,2008-02-20,2053:AL:SCAN,33.371428571428574,7
315,2008-02-27,2053:AL:SCAN,33.91428571428572,7
316,2008-03-05,2053:AL:SCAN,34.971428571428575,7
317,2008-03-12,2053:AL:SCAN,34.357142857142854,7
318,2008-03-19,2053:AL:SCAN,34.31428571428571,7
319,2008-03-26,2053:AL:SCAN,32.8,7
320,2008-04-02,2053:AL:SCAN,31.114285714285717,7
322,2008-04-16,2053:AL:SCAN,35.25714285714286,7
323,2008-04-23,2053:AL:SCAN,30.885714285714283,7
324,2008-04-30,2053:AL:SCAN,26.47142857142857,7
325,2008-05-07,2053:AL:SCAN,23.442857142857143,7
326,2008-05-14,2053:AL:SCAN,28.914285714285715,7
327,2008-05-21,2053:AL:SCAN,31.857142857142858,7
328,2008-05-28,2053:AL:SCAN,20.32857142857143,7
329,2008-06-04,2053:AL:SCAN,29.32857142857143,7
330,2008-06-11,2053:AL:SCAN,17.2,7
331,2008-06-18,2053:AL:SCAN,19.657142857142855,7
332,2008-06-25,2053:AL:SCAN,16.5,7
333,2008-07-02,2053:AL:SCAN,13.62857142857143,7
334,2008-07-09,2053:AL:SCAN,16.514285714285716,7
337,2008-07-30,2053:AL:SCAN,21.12857142857143,7
338,2008-08-06,2053:AL:SCAN,24.24285714285714,7
339,2008-08-13,2053:AL:SCAN,22.271428571428572,7
340,2008-08-20,2053:AL:SCAN,19.62857142857143,7
341,2008-08-27,2053:AL:SCAN,23.24285714285714,7
342,2008-09-03,2053:AL:SCAN,21.571428571428573,7
343,2008-09-10,2053:AL:SCAN,22.785714285714285,7
344,2008-09-17,2053:AL:SCAN,21.75714285714286,7
345,2008-09-24,2053:AL:SCAN,16.228571428571428,7
346,2008-10-01,2053:AL:SCAN,12.728571428571428,7
347,2008-10-08,2053:AL:SCAN,11.200000000000001,7
348,2008-10-15,2053:AL:SCAN,23.214285714285715,7
349,2008-10-22,2053:AL:SCAN,16.4,7
350,2008-10-29,2053:AL:SCAN,21.62857142857143,7
351,2008-11-05,2053:AL:SCAN,17.1,7
352,2008-11-12,2053:AL:SCAN,22.514285714285712,7
353,2008-11-19,2053:AL:SCAN,32.5,7
354,2008-11-26,2053:AL:SCAN,27.557142857142857,7
355,2008-12-03,2053:AL:SCAN,31.12857142857143,7
356,2008-12-10,2053:AL:SCAN,32.92857142857143,7
357,2008-12-17,2053:AL:SCAN,40.18571428571429,7
358,2008-12-24,2053:AL:SCAN,40.357142857142854,7
359,2008-12-31,2053:AL:SCAN,39.81428571428571,7
360,2009-01-07,2053:AL:SCAN,37.471428571428575,7
361,2009-01-14,2053:AL:SCAN,38.871428571428574,7
362,2009-01-21,2053:AL:SCAN,35.27142857142857,7
363,2009-01-28,2053:AL:SCAN,33.642857142857146,7
364,2009-02-04,2053:AL:SCAN,34.68571428571429,7
365,2009-02-11,2053:AL:SCAN,32.15714285714286,7
366,2009-02-18,2053:AL:SCAN,31.74285714285714,7
367,2009-02-25,2053:AL:SCAN,32.542857142857144,7
368,2009-03-04,2053:AL:SCAN,35.028571428571425,7
369,2009-03-11,2053:AL:SCAN,29.82857142857143,7
370,2009-03-18,2053:AL:SCAN,34.18571428571429,7
371,2009-03-25,2053:AL:SCAN,27.814285714285713,7
372,2009-04-01,2053:AL:SCAN,39.471428571428575,7
373,2009-04-08,2053:AL:SCAN,39.68571428571429,7
374,2009-04-15,2053:AL:SCAN,38.68571428571429,7
375,2009-04-22,2053:AL:SCAN,37.91428571428571,7
376,2009-04-29,2053:AL:SCAN,29.814285714285713,7
377,2009-05-06,2053:AL:SCAN,35.91428571428571,7
378,2009-05-13,2053:AL:SCAN,40.41428571428571,7
379,2009-05-20,2053:AL:SCAN,37.6,7
380,2009-05-27,2053:AL:SCAN,31.75714285714286,7
381,2009-06-03,2053:AL:SCAN,28.12857142857143,7
382,2009-06-10,2053:AL:SCAN,26.571428571428573,7
383,2009-06-17,2053:AL:SCAN,24.657142857142855,7
384,2009-06-24,2053:AL:SCAN,17.7,7
385,2009-07-01,2053:AL:SCAN,13.357142857142858,7
386,2009-07-08,2053:AL:SCAN,16.857142857142858,7
387,2009-07-15,2053:AL:SCAN,20.157142857142855,7
388,2009-07-22,2053:AL:SCAN,16.400000000000002,7
389,2009-07-29,2053:AL:SCAN,21.957142857142856,7
390,2009-08-05,2053:AL:SCAN,31.599999999999998,7
391,2009-08-12,2053:AL:SCAN,24.157142857142855,7
392,2009-08-19,2053:AL:SCAN,24.514285714285712,7
393,2009-08-26,2053:AL:SCAN,27.900000000000002,7
394,2009-09-02,2053:AL:SCAN,18.857142857142858,7
395,2009-09-09,2053:AL:SCAN,17.04285714285714,7
396,2009-09-16,2053:AL:SCAN,17.585714285714285,7
397,2009-09-23,2053:AL:SCAN,28.985714285714288,7
398,2009-09-30,2053:AL:SCAN,31.314285714285713,7
399,2009-10-07,2053:AL:SCAN,28.557142857142853,7
400,2009-10-14,2053:AL:SCAN,37.714285714285715,7
401,2009-10-21,2053:AL:SCAN,37.4,7
402,2009-10-28,2053:AL:SCAN,31.085714285714285,7
403,2009-11-04,2053:AL:SCAN,33.72857142857143,7
404,2009-11-11,2053:AL:SCAN,23.542857142857144,7
405,2009-11-18,2053:AL:SCAN,30.571428571428573,7
406,2009-11-25,2053:AL:SCAN,30.2,7
407,2009-12-02,2053:AL:SCAN,29.314285714285713,7
408,2009-12-09,2053:AL:SCAN,35.01428571428572,7
409,2009-12-16,2053:AL:SCAN,38.300000000000004,7
410,2009-12-23,2053:AL:SCAN,37.31428571428571,7
411,2009-12-30,2053:AL:SCAN,38.285714285714285,7
412,2010-01-06,2053:AL:SCAN,36.457142857142856,7
414,2010-01-20,2053:AL:SCAN,34.15714285714286,7
415,2010-01-27,2053:AL:SCAN,40.300000000000004,7
416,2010-02-03,2053:AL:SCAN,40.5,7
417,2010-02-10,2053:AL:SCAN,40.67142857142857,7
418,2010-02-17,2053:AL:SCAN,40.6,7
419,2010-02-24,2053:AL:SCAN,40.357142857142854,7
420,2010-03-03,2053:AL:SCAN,39.7,7
421,2010-03-10,2053:AL:SCAN,38.9,7
422,2010-03-17,2053:AL:SCAN,39.614285714285714,7
423,2010-03-24,2053:AL:SCAN,39.32857142857143,7
424,2010-03-31,2053:AL:SCAN,40.15714285714286,7
425,2010-04-07,2053:AL:SCAN,34.028571428571425,7
426,2010-04-14,2053:AL:SCAN,27.400000000000002,7
427,2010-04-21,2053:AL:SCAN,19.75714285714286,7
428,2010-04-28,2053:AL:SCAN,28.099999999999998,7
429,2010-05-05,2053:AL:SCAN,29.142857142857142,7
430,2010-05-12,2053:AL:SCAN,23.985714285714288,7
431,2010-05-19,2053:AL:SCAN,24.842857142857145,7
432,2010-05-26,2053:AL:SCAN,26.571428571428573,7
433,2010-06-02,2053:AL:SCAN,25.957142857142856,7
434,2010-06-09,2053:AL:SCAN,32.34285714285714,7
435,2010-06-16,2053:AL:SCAN,28.385714285714283,7
436,2010-06-23,2053:AL:SCAN,20.52857142857143,7
437,2010-06-30,2053:AL:SCAN,16.54285714285714,7
438,2010-07-07,2053:AL:SCAN,14.228571428571428,7
439,2010-07-14,2053:AL:SCAN,15.9,7
440,2010-07-21,2053:AL:SCAN,15.0,7
441,2010-07-28,2053:AL:SCAN,13.757142857142856,7
442,2010-08-04,2053:AL:SCAN,13.557142857142859,7
443,2010-08-11,2053:AL:SCAN,13.971428571428572,7
444,2010-08-18,2053:AL:SCAN,15.171428571428573,7
445,2010-08-25,2053:AL:SCAN,23.7,7
446,2010-09-01,2053:AL:SCAN,21.8,7
447,2010-09-08,2053:AL:SCAN,20.085714285714285,7
448,2010-09-15,2053:AL:SCAN,21.642857142857142,7
449,2010-09-22,2053:AL:SCAN,18.957142857142856,7
450,2010-09-29,2053:AL:SCAN,21.942857142857143,7
452,2010-10-13,2053:AL:SCAN,16.37142857142857,7
453,2010-10-20,2053:AL:SCAN,14.87142857142857,7
454,2010-10-27,2053:AL:SCAN,22.814285714285713,7
455,2010-11-03,2053:AL:SCAN,26.314285714285713,7
456,2010-11-10,2053:AL:SCAN,25.785714285714285,7
457,2010-11-17,2053:AL:SCAN,23.071428571428573,7
458,2010-11-24,2053:AL:SCAN,27.985714285714288,7
459,2010-12-01,2053:AL:SCAN,32.885714285714286,7
460,2010-12-08,2053:AL:SCAN,36.22857142857143,7
461,2010-12-15,2053:AL:SCAN,33.01428571428572,7
462,2010-12-22,2053:AL:SCAN,32.528571428571425,7
463,2010-12-29,2053:AL:SCAN,31.814285714285713,7
464,2011-01-05,2053:AL:SCAN,37.871428571428574,7
465,2011-01-12,2053:AL:SCAN,36.142857142857146,7
466,2011-01-19,2053:AL:SCAN,35.42857142857143,7
467,2011-01-26,2053:AL:SCAN,34.614285714285714,7
468,2011-02-02,2053:AL:SCAN,33.45714285714286,7
469,2011-02-09,2053:AL:SCAN,34.871428571428574,7
470,2011-02-16,2053:AL:SCAN,33.2,7
471,2011-02-23,2053:AL:SCAN,26.985714285714288,7
472,2011-03-02,2053:AL:SCAN,29.828571428571426,7
473,2011-03-09,2053:AL:SCAN,35.01428571428571,7
474,2011-03-16,2053:AL:SCAN,40.48571428571428,7
475,2011-03-23,2053:AL:SCAN,37.55714285714286,7
476,2011-03-30,2053:AL:SCAN,38.07142857142857,7
477,2011-04-06,2053:AL:SCAN,40.15714285714286,7
478,2011-04-13,2053:AL:SCAN,38.699999999999996,7
480,2011-05-25,2053:AL:SCAN,9.671428571428573,7
481,2011-06-01,2053:AL:SCAN,10.728571428571428,7
482,2011-06-08,2053:AL:SCAN,5.685714285714285,7
483,2011-06-15,2053:AL:SCAN,3.914285714285714,7
484,2011-06-22,2053:AL:SCAN,7.771428571428571,7
485,2011-06-29,2053:AL:SCAN,12.985714285714286,7
486,2011-07-06,2053:AL:SCAN,8.1,7
487,2011-07-13,2053:AL:SCAN,6.871428571428572,7
488,2011-07-20,2053:AL:SCAN,11.799999999999999,7
489,2011-07-27,2053:AL:SCAN,11.171428571428573,7
