,station,correlation,soil type,depth,resample type
4,2053:AL:SCAN,0.037970839433665804,D,2.0in,2w
5,2113:AL:SCAN,-0.16922602530537548,A,2.0in,2w
6,2180:AL:SCAN,0.25395340752412005,A,2.0in,2w
7,2178:AL:SCAN,-0.07707179612011435,A,2.0in,2w
8,2181:AL:SCAN,0.13466021543538567,A,2.0in,2w
9,2182:AL:SCAN,-0.20608998632313325,A,2.0in,2w
10,2176:AL:SCAN,-0.23314896822307182,A,2.0in,2w
11,2179:AL:SCAN,-0.251812350772592,A,2.0in,2w
12,2115:AL:SCAN,0.09423354782568152,A,2.0in,2w
13,2055:AL:SCAN,0.07682075732623875,B,2.0in,2w
14,2173:AL:SCAN,0.22282257666072694,B,2.0in,2w
15,2114:AL:SCAN,0.1821172798742484,B,2.0in,2w
16,2056:AL:SCAN,0.026623254185583655,B,2.0in,2w
17,2175:AL:SCAN,-0.024229164298556802,B,2.0in,2w
18,2057:AL:SCAN,0.26281686530984455,D,4.0in,2w
19,2177:AL:SCAN,0.19946192658140952,D,4.0in,2w
20,2174:AL:SCAN,0.13335895879938897,D,4.0in,2w
21,2114:AL:SCAN,0.08255943501245679,D,4.0in,2w
22,2078:AL:SCAN,0.1647753263220754,B,4.0in,2w
23,2055:AL:SCAN,0.14785142560728964,B,4.0in,2w
24,2173:AL:SCAN,0.19678009419903542,B,4.0in,2w
25,2056:AL:SCAN,0.02922397657452273,B,4.0in,2w
26,2175:AL:SCAN,-0.03403216774675856,B,4.0in,2w
27,2053:AL:SCAN,-0.03906398491643392,B,4.0in,2w
28,2113:AL:SCAN,-0.19533441931922138,A,4.0in,2w
29,2180:AL:SCAN,0.15619529164672943,A,4.0in,2w
30,2178:AL:SCAN,0.4118224174161136,A,4.0in,2w
31,2181:AL:SCAN,0.07616035258992826,A,4.0in,2w
32,2182:AL:SCAN,-0.32572076604942024,A,4.0in,2w
33,2176:AL:SCAN,-0.24396281851974455,A,4.0in,2w
34,2179:AL:SCAN,0.03812938378089217,A,4.0in,2w
35,2115:AL:SCAN,0.08373448357442258,A,4.0in,2w
36,2057:AL:SCAN,0.2693802043178188,D,8.0in,2w
37,2078:AL:SCAN,0.06612561815542609,D,8.0in,2w
38,2177:AL:SCAN,0.10721059016381339,D,8.0in,2w
39,2174:AL:SCAN,0.0789732369080031,D,8.0in,2w
40,2173:AL:SCAN,0.24917472684483855,D,8.0in,2w
41,2114:AL:SCAN,0.2629404781456783,D,8.0in,2w
42,2056:AL:SCAN,-0.10711574385383694,D,8.0in,2w
43,2113:AL:SCAN,-0.1436753587483959,A,8.0in,2w
44,2180:AL:SCAN,0.18262894325530385,A,8.0in,2w
45,2178:AL:SCAN,0.09532490220406784,A,8.0in,2w
46,2181:AL:SCAN,-0.0035495811967253686,A,8.0in,2w
47,2182:AL:SCAN,-0.23188879223638295,A,8.0in,2w
48,2176:AL:SCAN,-0.289721294344849,A,8.0in,2w
49,2179:AL:SCAN,0.01616401568925045,A,8.0in,2w
50,2115:AL:SCAN,0.04773785501142404,A,8.0in,2w
51,2055:AL:SCAN,0.21205713759468348,B,8.0in,2w
52,2175:AL:SCAN,-0.059059400333760156,B,8.0in,2w
53,2053:AL:SCAN,-0.07213775346823036,B,8.0in,2w
54,2057:AL:SCAN,0.2338782554872929,D,20.0in,2w
55,2078:AL:SCAN,0.1840328315288837,D,20.0in,2w
56,2177:AL:SCAN,0.20296430801077994,D,20.0in,2w
57,2174:AL:SCAN,0.06535718418746894,D,20.0in,2w
58,2055:AL:SCAN,0.12739931243511193,D,20.0in,2w
59,2173:AL:SCAN,0.29009140045752985,D,20.0in,2w
60,2114:AL:SCAN,0.18395484385867186,D,20.0in,2w
61,2056:AL:SCAN,-0.07790253298785617,D,20.0in,2w
62,2053:AL:SCAN,-0.08557136540527184,D,20.0in,2w
63,2113:AL:SCAN,-0.2542502846857994,B,20.0in,2w
64,2175:AL:SCAN,0.02599410684688577,B,20.0in,2w
65,2180:AL:SCAN,0.05086754046047293,A,20.0in,2w
66,2178:AL:SCAN,0.07640196779233759,A,20.0in,2w
67,2181:AL:SCAN,0.022688881114134443,A,20.0in,2w
68,2182:AL:SCAN,-0.2594848890060641,A,20.0in,2w
69,2176:AL:SCAN,-0.1835637403726181,A,20.0in,2w
70,2179:AL:SCAN,-0.0006328955148989811,A,20.0in,2w
71,2115:AL:SCAN,0.006871749560643237,C,20.0in,2w
72,2057:AL:SCAN,0.045562492734361255,D,40.0in,2w
73,2078:AL:SCAN,-0.03776129812066092,D,40.0in,2w
74,2177:AL:SCAN,-0.031007278403836047,D,40.0in,2w
75,2174:AL:SCAN,-0.14501475147407578,D,40.0in,2w
76,2055:AL:SCAN,-0.07014074824798537,D,40.0in,2w
77,2173:AL:SCAN,0.13810053343601614,D,40.0in,2w
78,2114:AL:SCAN,0.17415134244188107,D,40.0in,2w
79,2056:AL:SCAN,0.09475072406340858,D,40.0in,2w
80,2115:AL:SCAN,-0.06845496126174157,D,40.0in,2w
81,2175:AL:SCAN,0.10796849767427295,D,40.0in,2w
82,2053:AL:SCAN,-0.2234039633810037,D,40.0in,2w
83,2113:AL:SCAN,-0.06932439712997328,B,40.0in,2w
84,2178:AL:SCAN,-0.04085728923691838,B,40.0in,2w
85,2180:AL:SCAN,0.22058094439323106,C,40.0in,2w
86,2181:AL:SCAN,0.1150466416451545,C,40.0in,2w
87,2182:AL:SCAN,-0.21319180883403688,A,40.0in,2w
88,2176:AL:SCAN,-0.3045055762132182,A,40.0in,2w
0,2057:AL:SCAN,0.22072100739118075,D,2.0in,3w
1,2078:AL:SCAN,0.18014666088727702,D,2.0in,3w
2,2177:AL:SCAN,-0.05232772812706842,D,2.0in,3w
3,2174:AL:SCAN,0.047421716747001484,D,2.0in,3w
4,2053:AL:SCAN,-0.07386678421230111,D,2.0in,3w
5,2113:AL:SCAN,0.16576903161237766,A,2.0in,3w
6,2180:AL:SCAN,0.10858359035303888,A,2.0in,3w
7,2178:AL:SCAN,0.16295720155415308,A,2.0in,3w
8,2181:AL:SCAN,0.3207989130037871,A,2.0in,3w
9,2182:AL:SCAN,0.04496303039232595,A,2.0in,3w
10,2176:AL:SCAN,-0.12991007517895375,A,2.0in,3w
11,2179:AL:SCAN,-0.3210383921221078,A,2.0in,3w
12,2115:AL:SCAN,0.15089373783774324,A,2.0in,3w
13,2055:AL:SCAN,0.23019193559965395,B,2.0in,3w
14,2173:AL:SCAN,-0.01929011324810534,B,2.0in,3w
15,2114:AL:SCAN,0.40678439588218884,B,2.0in,3w
16,2056:AL:SCAN,0.08072425027767242,B,2.0in,3w
17,2175:AL:SCAN,0.19662464112308622,B,2.0in,3w
18,2057:AL:SCAN,0.30430548403132457,D,4.0in,3w
19,2177:AL:SCAN,-0.03741469906629415,D,4.0in,3w
20,2174:AL:SCAN,0.11701739947998131,D,4.0in,3w
21,2114:AL:SCAN,0.32259892327598566,D,4.0in,3w
22,2078:AL:SCAN,0.1335018596102456,B,4.0in,3w
23,2055:AL:SCAN,0.22449281521220316,B,4.0in,3w
24,2173:AL:SCAN,0.2311197031958228,B,4.0in,3w
25,2056:AL:SCAN,0.05521233040661936,B,4.0in,3w
26,2175:AL:SCAN,0.2653844500246814,B,4.0in,3w
27,2053:AL:SCAN,-0.07453727665772811,B,4.0in,3w
28,2113:AL:SCAN,0.14709647301267223,A,4.0in,3w
29,2180:AL:SCAN,-0.006967531609230405,A,4.0in,3w
30,2178:AL:SCAN,-0.20887055988100509,A,4.0in,3w
31,2181:AL:SCAN,0.279095839135894,A,4.0in,3w
32,2182:AL:SCAN,-0.10354139693634355,A,4.0in,3w
33,2176:AL:SCAN,0.022550995377390585,A,4.0in,3w
34,2179:AL:SCAN,-0.09093037929885588,A,4.0in,3w
35,2115:AL:SCAN,0.026239591444087988,A,4.0in,3w
36,2057:AL:SCAN,0.3060628198796474,D,8.0in,3w
37,2078:AL:SCAN,0.08131505311509124,D,8.0in,3w
38,2177:AL:SCAN,-0.02269646827404608,D,8.0in,3w
39,2174:AL:SCAN,0.10817588177095455,D,8.0in,3w
40,2173:AL:SCAN,0.0730073719154589,D,8.0in,3w
41,2114:AL:SCAN,0.33570066781690416,D,8.0in,3w
42,2056:AL:SCAN,-0.02979578719592931,D,8.0in,3w
43,2113:AL:SCAN,0.16382917205602773,A,8.0in,3w
44,2180:AL:SCAN,0.12274209152631381,A,8.0in,3w
45,2178:AL:SCAN,0.1757863158004459,A,8.0in,3w
46,2181:AL:SCAN,0.31794974348601623,A,8.0in,3w
47,2182:AL:SCAN,-0.17218717090148655,A,8.0in,3w
48,2176:AL:SCAN,0.09579004210254308,A,8.0in,3w
49,2179:AL:SCAN,-0.08712300415739113,A,8.0in,3w
50,2115:AL:SCAN,-0.055068837607330216,A,8.0in,3w
51,2055:AL:SCAN,0.41399524186407954,B,8.0in,3w
52,2175:AL:SCAN,0.25764049852838344,B,8.0in,3w
53,2053:AL:SCAN,-0.12035687398338922,B,8.0in,3w
54,2057:AL:SCAN,0.2508837690545122,D,20.0in,3w
55,2078:AL:SCAN,0.33379004452300226,D,20.0in,3w
56,2177:AL:SCAN,0.02475974703714442,D,20.0in,3w
57,2174:AL:SCAN,0.06473453125478686,D,20.0in,3w
58,2055:AL:SCAN,0.3743311025801228,D,20.0in,3w
59,2173:AL:SCAN,0.32480947322580256,D,20.0in,3w
60,2114:AL:SCAN,0.3486493993805918,D,20.0in,3w
61,2056:AL:SCAN,0.07784408974462201,D,20.0in,3w
62,2053:AL:SCAN,-0.0900365755760647,D,20.0in,3w
63,2113:AL:SCAN,0.11134354090644026,B,20.0in,3w
64,2175:AL:SCAN,-0.321960929465762,B,20.0in,3w
65,2180:AL:SCAN,0.13117662741866232,A,20.0in,3w
66,2178:AL:SCAN,0.1946275611720533,A,20.0in,3w
67,2181:AL:SCAN,0.2782990677533461,A,20.0in,3w
68,2182:AL:SCAN,-0.11092444298750044,A,20.0in,3w
69,2176:AL:SCAN,0.09636066012085372,A,20.0in,3w
70,2179:AL:SCAN,-0.12113599111495399,A,20.0in,3w
71,2115:AL:SCAN,-0.0878205884599107,C,20.0in,3w
72,2057:AL:SCAN,0.26976785870515874,D,40.0in,3w
73,2078:AL:SCAN,-0.005209137392880264,D,40.0in,3w
74,2177:AL:SCAN,-0.5664830241412705,D,40.0in,3w
75,2174:AL:SCAN,-0.4654820964972458,D,40.0in,3w
76,2055:AL:SCAN,-0.2992484761038817,D,40.0in,3w
77,2173:AL:SCAN,-0.04973506829124522,D,40.0in,3w
78,2114:AL:SCAN,0.25272402296715446,D,40.0in,3w
79,2056:AL:SCAN,-0.2694114869788256,D,40.0in,3w
80,2115:AL:SCAN,0.04720022810878105,D,40.0in,3w
81,2175:AL:SCAN,-0.006882160345323561,D,40.0in,3w
82,2053:AL:SCAN,-0.08901064452522285,D,40.0in,3w
83,2113:AL:SCAN,-0.04105634950927104,B,40.0in,3w
84,2178:AL:SCAN,0.01394325074049288,B,40.0in,3w
85,2180:AL:SCAN,-0.14241013442777087,C,40.0in,3w
86,2181:AL:SCAN,0.14889662540037038,C,40.0in,3w
87,2182:AL:SCAN,-0.004618743654522964,A,40.0in,3w
88,2176:AL:SCAN,-0.033461962672461085,A,40.0in,3w
0,2057:AL:SCAN,0.22147526303677859,D,2.0in,4w
1,2078:AL:SCAN,0.2575094801760613,D,2.0in,4w
2,2177:AL:SCAN,0.28351307888190697,D,2.0in,4w
3,2174:AL:SCAN,-0.0020589248023968314,D,2.0in,4w
4,2053:AL:SCAN,-0.018075185706030648,D,2.0in,4w
5,2113:AL:SCAN,-0.09798178448857452,A,2.0in,4w
6,2180:AL:SCAN,0.20674695631375015,A,2.0in,4w
7,2178:AL:SCAN,-0.3080846743061406,A,2.0in,4w
8,2181:AL:SCAN,-0.00392073468711017,A,2.0in,4w
9,2182:AL:SCAN,-0.17343361598218357,A,2.0in,4w
10,2176:AL:SCAN,-0.23811989811266335,A,2.0in,4w
11,2179:AL:SCAN,-0.2174484695547901,A,2.0in,4w
12,2115:AL:SCAN,0.42380520224602186,A,2.0in,4w
13,2055:AL:SCAN,0.317277825113226,B,2.0in,4w
14,2173:AL:SCAN,0.09693836271677841,B,2.0in,4w
15,2114:AL:SCAN,0.5274373028507937,B,2.0in,4w
16,2056:AL:SCAN,0.24559268718526775,B,2.0in,4w
17,2175:AL:SCAN,-0.1693245303520845,B,2.0in,4w
18,2057:AL:SCAN,0.2856526862746187,D,4.0in,4w
19,2177:AL:SCAN,0.45470910015197713,D,4.0in,4w
20,2174:AL:SCAN,-0.1273633509101303,D,4.0in,4w
21,2114:AL:SCAN,0.3001062519296941,D,4.0in,4w
22,2078:AL:SCAN,0.2813893991410274,B,4.0in,4w
23,2055:AL:SCAN,0.35691093574492144,B,4.0in,4w
24,2173:AL:SCAN,0.09032163889217827,B,4.0in,4w
25,2056:AL:SCAN,0.2816371852921658,B,4.0in,4w
26,2175:AL:SCAN,-0.25404848903641775,B,4.0in,4w
27,2053:AL:SCAN,0.01861081894131828,B,4.0in,4w
28,2113:AL:SCAN,-0.11374317324939959,A,4.0in,4w
29,2180:AL:SCAN,0.28096307652404723,A,4.0in,4w
30,2178:AL:SCAN,0.5967177378149269,A,4.0in,4w
31,2181:AL:SCAN,-0.034543924027509776,A,4.0in,4w
32,2182:AL:SCAN,-0.2910002581169536,A,4.0in,4w
33,2176:AL:SCAN,-0.08572977113581666,A,4.0in,4w
34,2179:AL:SCAN,0.12874152463874505,A,4.0in,4w
35,2115:AL:SCAN,0.32830061213413936,A,4.0in,4w
36,2057:AL:SCAN,0.399518384033155,D,8.0in,4w
37,2078:AL:SCAN,0.13243523170855268,D,8.0in,4w
38,2177:AL:SCAN,0.4008556482740386,D,8.0in,4w
39,2174:AL:SCAN,-0.18700608633888086,D,8.0in,4w
40,2173:AL:SCAN,0.2350206444324192,D,8.0in,4w
41,2114:AL:SCAN,0.46101341674516405,D,8.0in,4w
42,2056:AL:SCAN,0.15538108599538206,D,8.0in,4w
43,2113:AL:SCAN,-0.07407619019684014,A,8.0in,4w
44,2180:AL:SCAN,0.18653481677634232,A,8.0in,4w
45,2178:AL:SCAN,-0.1756560472934385,A,8.0in,4w
46,2181:AL:SCAN,-0.08361771886776014,A,8.0in,4w
47,2182:AL:SCAN,-0.28583584243856514,A,8.0in,4w
48,2176:AL:SCAN,0.150414636269462,A,8.0in,4w
49,2179:AL:SCAN,0.07548272899634291,A,8.0in,4w
50,2115:AL:SCAN,0.21086625561297118,A,8.0in,4w
51,2055:AL:SCAN,0.4094456441225986,B,8.0in,4w
52,2175:AL:SCAN,-0.23216477863270998,B,8.0in,4w
53,2053:AL:SCAN,-0.15017302097207608,B,8.0in,4w
54,2057:AL:SCAN,0.28661193192015944,D,20.0in,4w
55,2078:AL:SCAN,0.27091139846343126,D,20.0in,4w
56,2177:AL:SCAN,0.46538596182438446,D,20.0in,4w
57,2174:AL:SCAN,-0.285857810586887,D,20.0in,4w
58,2055:AL:SCAN,0.27566357091526694,D,20.0in,4w
59,2173:AL:SCAN,0.5458594812688201,D,20.0in,4w
60,2114:AL:SCAN,0.4844827791257264,D,20.0in,4w
61,2056:AL:SCAN,0.12727511047937173,D,20.0in,4w
62,2053:AL:SCAN,-0.0022676024237697355,D,20.0in,4w
63,2113:AL:SCAN,-0.14271688918809738,B,20.0in,4w
64,2175:AL:SCAN,0.04733874654042505,B,20.0in,4w
65,2180:AL:SCAN,-0.16475541585603218,A,20.0in,4w
66,2178:AL:SCAN,-0.12392963488202505,A,20.0in,4w
67,2181:AL:SCAN,-0.14711921038630107,A,20.0in,4w
68,2182:AL:SCAN,-0.38180716676762844,A,20.0in,4w
69,2176:AL:SCAN,0.25813876142141934,A,20.0in,4w
70,2179:AL:SCAN,0.10227285006885983,A,20.0in,4w
71,2115:AL:SCAN,0.1990210134362062,C,20.0in,4w
72,2057:AL:SCAN,0.1295187647486588,D,40.0in,4w
73,2078:AL:SCAN,0.023860657133855996,D,40.0in,4w
74,2177:AL:SCAN,-0.3994788080318719,D,40.0in,4w
75,2174:AL:SCAN,-0.3049142814203414,D,40.0in,4w
76,2055:AL:SCAN,-0.1299097782247681,D,40.0in,4w
77,2173:AL:SCAN,0.13551430509350093,D,40.0in,4w
78,2114:AL:SCAN,0.3669084202695859,D,40.0in,4w
79,2056:AL:SCAN,0.09873432590022355,D,40.0in,4w
80,2115:AL:SCAN,0.13373109526836818,D,40.0in,4w
81,2175:AL:SCAN,0.09033539983646519,D,40.0in,4w
82,2053:AL:SCAN,-0.2560025155336186,D,40.0in,4w
83,2113:AL:SCAN,0.06717367064127273,B,40.0in,4w
84,2178:AL:SCAN,-0.003984700556969289,B,40.0in,4w
85,2180:AL:SCAN,0.23735597057762656,C,40.0in,4w
86,2181:AL:SCAN,0.0114109496116108,C,40.0in,4w
87,2182:AL:SCAN,-0.18920949223407735,A,40.0in,4w
88,2176:AL:SCAN,0.06432462623447449,A,40.0in,4w
